name	taxonomy_id	taxonomy_lvl	14_class.bracken_num	14_class.bracken_frac	17_class.bracken_num	17_class.bracken_frac	19_class.bracken_num	19_class.bracken_frac	20_class.bracken_num	20_class.bracken_frac	2126_class.bracken_num	2126_class.bracken_frac	22a_class.bracken_num	22a_class.bracken_frac	22b_class.bracken_num	22b_class.bracken_frac	25_class.bracken_num	25_class.bracken_frac	2621_class.bracken_num	2621_class.bracken_frac	27_class.bracken_num	27_class.bracken_frac	Stan_class.bracken_num	Stan_class.bracken_frac
Clostridia	186801	C	12940152	0.52450	10080175	0.46522	10521629	0.49053	15094739	0.44215	5707992	0.65066	4793549	0.56454	11446128	0.55870	7682652	0.51704	8040989	0.54289	5996112	0.46340	4320508	0.42569
Erysipelotrichia	526524	C	979224	0.03969	407215	0.01879	225410	0.01051	824879	0.02416	173236	0.01975	134434	0.01583	363431	0.01774	363075	0.02443	297945	0.02012	355022	0.02744	191810	0.01890
Bacilli	91061	C	433787	0.01758	492329	0.02272	235462	0.01098	534502	0.01566	268540	0.03061	138396	0.01630	343166	0.01675	312550	0.02103	408403	0.02757	248833	0.01923	136410	0.01344
Negativicutes	909932	C	301421	0.01222	475156	0.02193	200489	0.00935	356016	0.01043	93634	0.01067	91464	0.01077	234547	0.01145	498471	0.03355	38617	0.00261	72427	0.00560	229953	0.02266
Tissierellia	1737404	C	8968	0.00036	18881	0.00087	6348	0.00030	11540	0.00034	4229	0.00048	3466	0.00041	8689	0.00042	7966	0.00054	8334	0.00056	7126	0.00055	4666	0.00046
Limnochordia	1676648	C	509	0.00002	1716	0.00008	538	0.00003	711	0.00002	201	0.00002	68	0.00001	173	0.00001	307	0.00002	537	0.00004	426	0.00003	267	0.00003
Actinobacteria	1760	C	1265579	0.05130	388317	0.01792	2056531	0.09588	2896474	0.08484	602804	0.06871	45818	0.00540	110981	0.00542	483120	0.03251	516707	0.03489	1887407	0.14586	171533	0.01690
Coriobacteriia	84998	C	562156	0.02279	952478	0.04396	1489639	0.06945	1982627	0.05808	771785	0.08798	91055	0.01072	239052	0.01167	856215	0.05762	911063	0.06151	689306	0.05327	182318	0.01796
Rubrobacteria	84995	C	387	0.00002	3740	0.00017	896	0.00004	908	0.00003	330	0.00004	199	0.00002	480	0.00002	333	0.00002	800	0.00005	775	0.00006	434	0.00004
Thermoleophilia	1497346	C	168	0.00001	25735	0.00119	8761	0.00041	461	0.00001	101	0.00001	3932	0.00046	10025	0.00049	145	0.00001	10744	0.00073	8579	0.00066	5421	0.00053
Nitriliruptoria	908620	C	123	0.00000	1468	0.00007	395	0.00002	14267	0.00042	122	0.00001	53	0.00001	168	0.00001	143	0.00001	329	0.00002	332	0.00003	170	0.00002
Acidimicrobiia	84992	C	9982	0.00040	1229	0.00006	295	0.00001	457	0.00001	3958	0.00045	59	0.00001	154	0.00001	9079	0.00061	349	0.00002	234	0.00002	128	0.00001
Gloeobacteria	307596	C	312	0.00001	1995	0.00009	650	0.00003	819	0.00002	205	0.00002	204	0.00002	311	0.00002	301	0.00002	914	0.00006	521	0.00004	379	0.00004
Mollicutes	31969	C	4774	0.00019	21260	0.00098	2895	0.00013	6762	0.00020	2044	0.00023	2083	0.00025	5122	0.00025	5923	0.00040	6308	0.00043	5743	0.00044	3331	0.00033
Dehalococcoidia	301297	C	1544	0.00006	4490	0.00021	3577	0.00017	1070	0.00003	444	0.00005	242	0.00003	578	0.00003	1136	0.00008	980	0.00007	913	0.00007	837	0.00008
Anaerolineae	292625	C	535	0.00002	2318	0.00011	636	0.00003	1154	0.00003	303	0.00003	325	0.00004	770	0.00004	619	0.00004	892	0.00006	519	0.00004	283	0.00003
Chloroflexia	32061	C	413	0.00002	1571	0.00007	589	0.00003	861	0.00003	198	0.00002	129	0.00002	394	0.00002	339	0.00002	549	0.00004	389	0.00003	298	0.00003
Caldilineae	475962	C	185	0.00001	914	0.00004	291	0.00001	360	0.00001	106	0.00001	50	0.00001	132	0.00001	149	0.00001	209	0.00001	186	0.00001	103	0.00001
Ktedonobacteria	388447	C	118	0.00000	439	0.00002	176	0.00001	95	0.00000	50	0.00001	31	0.00000	103	0.00001	81	0.00001	113	0.00001	73	0.00001	73	0.00001
Tepidiformia	2682225	C	106	0.00000	631	0.00003	268	0.00001	477	0.00001	121	0.00001	66	0.00001	144	0.00001	63	0.00000	332	0.00002	230	0.00002	116	0.00001
Thermomicrobia	189775	C	98	0.00000	1065	0.00005	350	0.00002	312	0.00001	91	0.00001	95	0.00001	270	0.00001	91	0.00001	361	0.00002	304	0.00002	157	0.00002
Ardenticatenia	1382928	C	84	0.00000	1113	0.00005	228	0.00001	483	0.00001	137	0.00002	52	0.00001	113	0.00001	101	0.00001	318	0.00002	217	0.00002	113	0.00001
