name	taxonomy_id	taxonomy_lvl	14_family.bracken_num	14_family.bracken_frac	17_family.bracken_num	17_family.bracken_frac	19_family.bracken_num	19_family.bracken_frac	20_family.bracken_num	20_family.bracken_frac	2126_family.bracken_num	2126_family.bracken_frac	22a_family.bracken_num	22a_family.bracken_frac	22b_family.bracken_num	22b_family.bracken_frac	25_family.bracken_num	25_family.bracken_frac	2621_family.bracken_num	2621_family.bracken_frac	27_family.bracken_num	27_family.bracken_frac	Stan_family.bracken_num	Stan_family.bracken_frac
Lachnospiraceae	186803	F	6785737	0.27505	3875991	0.17888	4456319	0.20776	7913014	0.23179	2436430	0.27774	1795953	0.21152	4524806	0.22086	4874984	0.32809	3612171	0.24388	2760450	0.21334	2050382	0.20202
Ruminococcaceae	541000	F	5329997	0.21604	4284877	0.19776	5177811	0.24140	6012651	0.17612	2835533	0.32323	2743585	0.32312	6300245	0.30752	1969879	0.13257	3517938	0.23752	2553486	0.19734	1773819	0.17477
Clostridiales Family XIII. Incertae Sedis	543314	F	7916	0.00032	59774	0.00276	5025	0.00023	15689	0.00046	4331	0.00049	3088	0.00036	7314	0.00036	9863	0.00066	6664	0.00045	5628	0.00043	3816	0.00038
Clostridiales Family XVII. Incertae Sedis	539000	F	425	0.00002	4433	0.00020	1036	0.00005	1366	0.00004	362	0.00004	215	0.00003	444	0.00002	276	0.00002	1156	0.00008	629	0.00005	436	0.00004
Clostridiales Family XVI. Incertae Sedis	543347	F	202	0.00001	919	0.00004	255	0.00001	374	0.00001	108	0.00001	61	0.00001	145	0.00001	308	0.00002	231	0.00002	196	0.00002	161	0.00002
Peptostreptococcaceae	186804	F	347364	0.01408	296035	0.01366	148495	0.00692	332958	0.00975	121222	0.01382	79638	0.00938	198563	0.00969	210731	0.01418	362200	0.02445	114379	0.00884	95175	0.00938
Oscillospiraceae	216572	F	170982	0.00693	1091672	0.05038	514016	0.02396	212883	0.00624	160906	0.01834	53658	0.00632	125521	0.00613	258078	0.01737	236271	0.01595	387173	0.02992	250484	0.02468
Clostridiaceae	31979	F	118005	0.00478	155131	0.00716	71718	0.00334	420084	0.01231	52635	0.00600	56553	0.00666	140795	0.00687	114674	0.00772	102096	0.00689	69386	0.00536	48695	0.00480
Eubacteriaceae	186806	F	119202	0.00483	121854	0.00562	74913	0.00349	96364	0.00282	44474	0.00507	33421	0.00394	81801	0.00399	151288	0.01018	112151	0.00757	37808	0.00292	50314	0.00496
Christensenellaceae	990719	F	17912	0.00073	83087	0.00383	44640	0.00208	42037	0.00123	34884	0.00398	10492	0.00124	26169	0.00128	47216	0.00318	53407	0.00361	32167	0.00249	28474	0.00281
Hungateiclostridiaceae	2304686	F	17044	0.00069	45823	0.00211	9125	0.00043	14349	0.00042	6177	0.00070	5278	0.00062	12998	0.00063	21980	0.00148	11517	0.00078	11482	0.00089	6382	0.00063
Peptococcaceae	186807	F	10274	0.00042	25435	0.00117	7918	0.00037	13235	0.00039	4817	0.00055	4395	0.00052	10118	0.00049	9312	0.00063	10852	0.00073	11532	0.00089	5108	0.00050
