name	taxonomy_id	taxonomy_lvl	14_genus.bracken_num	14_genus.bracken_frac	17_genus.bracken_num	17_genus.bracken_frac	19_genus.bracken_num	19_genus.bracken_frac	20_genus.bracken_num	20_genus.bracken_frac	2126_genus.bracken_num	2126_genus.bracken_frac	22a_genus.bracken_num	22a_genus.bracken_frac	22b_genus.bracken_num	22b_genus.bracken_frac	25_genus.bracken_num	25_genus.bracken_frac	2621_genus.bracken_num	2621_genus.bracken_frac	27_genus.bracken_num	27_genus.bracken_frac	Stan_genus.bracken_num	Stan_genus.bracken_frac
Blautia	572511	G	2419080	0.09805	824249	0.03804	2191517	0.10217	1973783	0.05782	976802	0.11136	510632	0.06014	1301143	0.06351	1163622	0.07831	1500386	0.10130	890326	0.06881	431265	0.04249
Anaerostipes	207244	G	1088010	0.04410	1203651	0.05555	423812	0.01976	2528470	0.07407	495259	0.05646	152586	0.01797	396098	0.01933	541584	0.03645	528775	0.03570	675812	0.05223	332474	0.03276
Roseburia	841	G	978706	0.03967	724603	0.03344	902882	0.04209	713471	0.02090	237016	0.02702	393735	0.04637	969788	0.04734	1519323	0.10225	545884	0.03686	452820	0.03500	461804	0.04550
Anaerobutyricum	2569097	G	746806	0.03027	338832	0.01564	416788	0.01943	701874	0.02056	199530	0.02275	217557	0.02562	567863	0.02772	796068	0.05358	274455	0.01853	261035	0.02017	211699	0.02086
Lachnospira	28050	G	467204	0.01894	228754	0.01056	103397	0.00482	1070673	0.03136	184730	0.02106	106263	0.01252	236910	0.01156	77674	0.00523	176990	0.01195	151379	0.01170	286373	0.02822
Mediterraneibacter	2316020	G	497364	0.02016	99199	0.00458	87770	0.00409	192529	0.00564	114268	0.01303	58877	0.00693	152852	0.00746	228285	0.01536	139328	0.00941	55594	0.00430	111340	0.01097
Lachnoclostridium	1506553	G	217354	0.00881	195562	0.00903	134846	0.00629	269833	0.00790	95617	0.01090	72311	0.00852	180681	0.00882	208691	0.01405	174256	0.01177	86772	0.00671	75396	0.00743
Enterocloster	2719313	G	164219	0.00666	129486	0.00598	108454	0.00506	232425	0.00681	61969	0.00706	74025	0.00872	175869	0.00858	195609	0.01316	134895	0.00911	103926	0.00803	81903	0.00807
Butyrivibrio	830	G	62086	0.00252	34669	0.00160	22768	0.00106	63357	0.00186	21159	0.00241	25014	0.00295	60282	0.00294	40573	0.00273	40698	0.00275	25768	0.00199	15928	0.00157
Pseudobutyrivibrio	46205	G	43986	0.00178	14573	0.00067	13754	0.00064	34122	0.00100	12728	0.00145	14387	0.00169	34111	0.00167	19913	0.00134	21378	0.00144	14602	0.00113	8517	0.00084
Lacrimispora	2719231	G	37377	0.00152	32199	0.00149	20047	0.00093	51927	0.00152	15196	0.00173	15045	0.00177	36413	0.00178	29013	0.00195	29571	0.00200	13377	0.00103	13722	0.00135
Anaerocolumna	1843210	G	31979	0.00130	25712	0.00119	16228	0.00076	42867	0.00126	11616	0.00132	11596	0.00137	28266	0.00138	30943	0.00208	24315	0.00164	14058	0.00109	10616	0.00105
Lachnoanaerobaculum	1164882	G	15750	0.00064	9031	0.00042	5755	0.00027	15966	0.00047	4880	0.00056	4291	0.00051	10652	0.00052	9316	0.00063	9341	0.00063	6482	0.00050	3681	0.00036
Cellulosilyticum	698776	G	5442	0.00022	4068	0.00019	3189	0.00015	6601	0.00019	2288	0.00026	3327	0.00039	8239	0.00040	3654	0.00025	3396	0.00023	2369	0.00018	2014	0.00020
Herbinix	1663717	G	5816	0.00024	6138	0.00028	2911	0.00014	7426	0.00022	1784	0.00020	2149	0.00025	5443	0.00027	6278	0.00042	5218	0.00035	3177	0.00025	2070	0.00020
Anaerotignum	2039240	G	4550	0.00018	5258	0.00024	2193	0.00010	7682	0.00023	1579	0.00018	1883	0.00022	4586	0.00022	4432	0.00030	3278	0.00022	2945	0.00023	1573	0.00015
Faecalibacterium	216851	G	3743085	0.15172	3576919	0.16509	3718664	0.17337	5050286	0.14794	2404131	0.27407	2181756	0.25697	4914677	0.23990	1444639	0.09723	3118785	0.21057	2268359	0.17531	1405585	0.13850
Ruminococcus	1263	G	1035359	0.04197	251906	0.01163	1315882	0.06135	725860	0.02126	281705	0.03211	512355	0.06035	1267345	0.06186	39466	0.00266	258933	0.01748	154855	0.01197	256829	0.02531
Flavonifractor	946234	G	116099	0.00471	150435	0.00694	65611	0.00306	124539	0.00365	38021	0.00433	25271	0.00298	58470	0.00285	114687	0.00772	59097	0.00399	31140	0.00241	53314	0.00525
Ruthenibacterium	1905344	G	41885	0.00170	239912	0.01107	46985	0.00219	86494	0.00253	98340	0.01121	16506	0.00194	40716	0.00199	85796	0.00577	55858	0.00377	77508	0.00599	44968	0.00443
Acutalibacter	1918385	G	7189	0.00029	30068	0.00139	15948	0.00074	14977	0.00044	5392	0.00061	2998	0.00035	7411	0.00036	14425	0.00097	11977	0.00081	9524	0.00074	5674	0.00056
Caproiciproducens	1738645	G	4915	0.00020	22134	0.00102	9865	0.00046	6448	0.00019	5662	0.00065	3247	0.00038	8089	0.00039	7710	0.00052	8881	0.00060	8387	0.00065	5108	0.00050
Ethanoligenens	253238	G	1897	0.00008	13500	0.00062	4852	0.00023	4044	0.00012	2278	0.00026	1448	0.00017	3533	0.00017	2412	0.00016	4405	0.00030	3710	0.00029	2337	0.00023
Monoglobus	2039302	G	277663	0.01125	9573	0.00044	57156	0.00266	6543	0.00019	5086	0.00058	91221	0.01074	255606	0.01248	11213	0.00075	9621	0.00065	73031	0.00564	37018	0.00365
Massilistercora	2717089	G	44177	0.00179	69533	0.00321	67859	0.00316	131960	0.00387	29757	0.00339	22468	0.00265	55830	0.00273	196546	0.01323	73210	0.00494	28642	0.00221	26424	0.00260
Intestinimonas	1392389	G	29476	0.00119	189023	0.00872	42406	0.00198	30750	0.00090	19471	0.00222	11962	0.00141	28954	0.00141	38673	0.00260	37345	0.00252	40868	0.00316	27088	0.00267
Flintibacter	1918454	G	28247	0.00114	63108	0.00291	27102	0.00126	40934	0.00120	7588	0.00087	6614	0.00078	15212	0.00074	14308	0.00096	28928	0.00195	16681	0.00129	17660	0.00174
Aminipila	2060094	G	4728	0.00019	45923	0.00212	3418	0.00016	5520	0.00016	3309	0.00038	1942	0.00023	4623	0.00023	6242	0.00042	4150	0.00028	3557	0.00027	2873	0.00028
