name	taxonomy_id	taxonomy_lvl	14_order.bracken_num	14_order.bracken_frac	17_order.bracken_num	17_order.bracken_frac	19_order.bracken_num	19_order.bracken_frac	20_order.bracken_num	20_order.bracken_frac	2126_order.bracken_num	2126_order.bracken_frac	22a_order.bracken_num	22a_order.bracken_frac	22b_order.bracken_num	22b_order.bracken_frac	25_order.bracken_num	25_order.bracken_frac	2621_order.bracken_num	2621_order.bracken_frac	27_order.bracken_num	27_order.bracken_frac	Stan_order.bracken_num	Stan_order.bracken_frac
Clostridiales	186802	O	12928734	0.52404	10055220	0.46407	10514678	0.49021	15080284	0.44173	5703484	0.65015	4789049	0.56402	11434983	0.55816	7672571	0.51636	8030947	0.54221	5987273	0.46272	4315185	0.42517
Thermoanaerobacterales	68295	O	8382	0.00034	18234	0.00084	5214	0.00024	10340	0.00030	3253	0.00037	3299	0.00039	8260	0.00040	6953	0.00047	7380	0.00050	6525	0.00050	3845	0.00038
Halanaerobiales	53433	O	2211	0.00009	3263	0.00015	986	0.00005	2904	0.00009	718	0.00008	771	0.00009	1895	0.00009	2200	0.00015	1813	0.00012	1312	0.00010	904	0.00009
Thermosediminibacterales	2770089	O	675	0.00003	3264	0.00015	692	0.00003	936	0.00003	486	0.00006	384	0.00005	873	0.00004	886	0.00006	752	0.00005	900	0.00007	516	0.00005
Natranaerobiales	485256	O	148	0.00001	192	0.00001	56	0.00000	272	0.00001	49	0.00001	44	0.00001	115	0.00001	41	0.00000	94	0.00001	99	0.00001	55	0.00001
Erysipelotrichales	526525	O	979224	0.03969	407215	0.01879	225410	0.01051	824879	0.02416	173236	0.01975	134434	0.01583	363431	0.01774	363075	0.02443	297945	0.02012	355022	0.02744	191810	0.01890
Lactobacillales	186826	O	268032	0.01086	180918	0.00835	125854	0.00587	298872	0.00875	205872	0.02347	76293	0.00899	191220	0.00933	131857	0.00887	253792	0.01713	138250	0.01068	61277	0.00604
Bacillales	1385	O	165754	0.00672	311410	0.01437	109607	0.00511	235630	0.00690	62668	0.00714	62103	0.00731	151946	0.00742	180693	0.01216	154611	0.01044	110583	0.00855	75132	0.00740
Acidaminococcales	1843488	O	286965	0.01163	437883	0.02021	187601	0.00875	324489	0.00950	87474	0.00997	85322	0.01005	219249	0.01070	363176	0.02444	16528	0.00112	55608	0.00430	69654	0.00686
Selenomonadales	909929	O	7464	0.00030	23752	0.00110	7568	0.00035	12442	0.00036	3794	0.00043	3233	0.00038	7934	0.00039	129038	0.00868	9754	0.00066	7160	0.00055	155978	0.01537
Veillonellales	1843489	O	6991	0.00028	13520	0.00062	5319	0.00025	19085	0.00056	2365	0.00027	2907	0.00034	7364	0.00036	6256	0.00042	12333	0.00083	9658	0.00075	4320	0.00043
Tissierellales	1737405	O	8968	0.00036	18881	0.00087	6348	0.00030	11540	0.00034	4229	0.00048	3466	0.00041	8689	0.00042	7966	0.00054	8334	0.00056	7126	0.00055	4666	0.00046
Limnochordales	1676649	O	509	0.00002	1716	0.00008	538	0.00003	711	0.00002	201	0.00002	68	0.00001	173	0.00001	307	0.00002	537	0.00004	426	0.00003	267	0.00003
Bifidobacteriales	85004	O	1183547	0.04797	43558	0.00201	1937870	0.09035	2754503	0.08068	562220	0.06409	13367	0.00157	33323	0.00163	437805	0.02946	401957	0.02714	1810328	0.13991	123260	0.01214
Actinomycetales	2037	O	31906	0.00129	22187	0.00102	20789	0.00097	22321	0.00065	7742	0.00088	6782	0.00080	15123	0.00074	6184	0.00042	10278	0.00069	7814	0.00060	4015	0.00040
Micrococcales	85006	O	17703	0.00072	86861	0.00401	27414	0.00128	33786	0.00099	10092	0.00115	8894	0.00105	21074	0.00103	13741	0.00092	33349	0.00225	21125	0.00163	12587	0.00124
Corynebacteriales	85007	O	12520	0.00051	79620	0.00367	26533	0.00124	32446	0.00095	7918	0.00090	6488	0.00076	16002	0.00078	10853	0.00073	25731	0.00174	16708	0.00129	11124	0.00110
Streptomycetales	85011	O	8971	0.00036	72138	0.00333	20777	0.00097	24571	0.00072	6848	0.00078	4696	0.00055	11598	0.00057	6512	0.00044	20861	0.00141	14547	0.00112	9518	0.00094
Propionibacteriales	85009	O	4201	0.00017	29849	0.00138	8076	0.00038	10428	0.00031	2554	0.00029	1957	0.00023	4773	0.00023	3055	0.00021	8933	0.00060	5866	0.00045	3933	0.00039
Pseudonocardiales	85010	O	2007	0.00008	16589	0.00077	4963	0.00023	6391	0.00019	1740	0.00020	1152	0.00014	2874	0.00014	1516	0.00010	5151	0.00035	3580	0.00028	2264	0.00022
Micromonosporales	85008	O	1938	0.00008	15681	0.00072	4285	0.00020	5501	0.00016	1549	0.00018	930	0.00011	2312	0.00011	1268	0.00009	4683	0.00032	3083	0.00024	2097	0.00021
Streptosporangiales	85012	O	1055	0.00004	11025	0.00051	2633	0.00012	2910	0.00009	866	0.00010	536	0.00006	1434	0.00007	861	0.00006	2366	0.00016	2032	0.00016	1129	0.00011
Candidatus Nanopelagicales	2039638	O	546	0.00002	994	0.00005	415	0.00002	681	0.00002	309	0.00004	361	0.00004	913	0.00004	464	0.00003	550	0.00004	484	0.00004	324	0.00003
Frankiales	85013	O	347	0.00001	2726	0.00013	949	0.00004	987	0.00003	344	0.00004	210	0.00002	506	0.00002	256	0.00002	785	0.00005	530	0.00004	380	0.00004
Nakamurellales	1643684	O	250	0.00001	1219	0.00006	282	0.00001	336	0.00001	109	0.00001	103	0.00001	239	0.00001	133	0.00001	345	0.00002	323	0.00002	191	0.00002
Glycomycetales	85014	O	123	0.00000	733	0.00003	140	0.00001	99	0.00000	40	0.00000	28	0.00000	80	0.00000	102	0.00001	177	0.00001	74	0.00001	72	0.00001
Geodermatophilales	1643682	O	91	0.00000	1346	0.00006	256	0.00001	357	0.00001	111	0.00001	68	0.00001	157	0.00001	76	0.00001	266	0.00002	246	0.00002	189	0.00002
Catenulisporales	414714	O	90	0.00000	1100	0.00005	217	0.00001	261	0.00001	93	0.00001	65	0.00001	118	0.00001	87	0.00001	293	0.00002	129	0.00001	89	0.00001
Jiangellales	1217098	O	71	0.00000	1469	0.00007	371	0.00002	294	0.00001	85	0.00001	71	0.00001	179	0.00001	70	0.00000	375	0.00003	267	0.00002	111	0.00001
Kineosporiales	622452	O	64	0.00000	377	0.00002	170	0.00001	319	0.00001	66	0.00001	39	0.00000	74	0.00000	16	0.00000	197	0.00001	109	0.00001	59	0.00001
Acidothermales	1643683	O	60	0.00000	212	0.00001	122	0.00001	126	0.00000	50	0.00001	30	0.00000	46	0.00000	65	0.00000	160	0.00001	43	0.00000	26	0.00000
Actinopolysporales	622450	O	58	0.00000	324	0.00001	113	0.00001	32	0.00000	21	0.00000	20	0.00000	54	0.00000	20	0.00000	125	0.00001	38	0.00000	89	0.00001
Sporichthyales	2495578	O	22	0.00000	299	0.00001	146	0.00001	116	0.00000	37	0.00000	12	0.00000	92	0.00000	28	0.00000	116	0.00001	71	0.00001	66	0.00001
Eggerthellales	1643822	O	549236	0.02226	503186	0.02322	173859	0.00811	488450	0.01431	138755	0.01582	78519	0.00925	207749	0.01014	261493	0.01760	119776	0.00809	94709	0.00732	60078	0.00592
Coriobacteriales	84999	O	12919	0.00052	449292	0.02074	1315779	0.06134	1494177	0.04377	633030	0.07216	12535	0.00148	31302	0.00153	594722	0.04002	791287	0.05342	594596	0.04595	122239	0.01204
Rubrobacterales	84996	O	387	0.00002	3740	0.00017	896	0.00004	908	0.00003	330	0.00004	199	0.00002	480	0.00002	333	0.00002	800	0.00005	775	0.00006	434	0.00004
Solirubrobacterales	588673	O	168	0.00001	1102	0.00005	240	0.00001	461	0.00001	101	0.00001	44	0.00001	138	0.00001	145	0.00001	238	0.00002	221	0.00002	125	0.00001
Euzebyales	908621	O	69	0.00000	704	0.00003	212	0.00001	174	0.00001	72	0.00001	28	0.00000	73	0.00000	47	0.00000	143	0.00001	142	0.00001	62	0.00001
Egibacterales	1747768	O	27	0.00000	269	0.00001	107	0.00000	54	0.00000	26	0.00000	19	0.00000	57	0.00000	33	0.00000	90	0.00001	76	0.00001	37	0.00000
Egicoccales	1755823	O	27	0.00000	494	0.00002	75	0.00000	74	0.00000	23	0.00000	6	0.00000	36	0.00000	63	0.00000	96	0.00001	113	0.00001	71	0.00001
Acidimicrobiales	84993	O	109	0.00000	1229	0.00006	295	0.00001	457	0.00001	85	0.00001	59	0.00001	154	0.00001	68	0.00000	349	0.00002	234	0.00002	128	0.00001
Synechococcales	1890424	O	3826	0.00016	14873	0.00069	4866	0.00023	6889	0.00020	2152	0.00025	1693	0.00020	4106	0.00020	3335	0.00022	5662	0.00038	4305	0.00033	2676	0.00026
Oscillatoriales	1150	O	1635	0.00007	2152	0.00010	908	0.00004	1360	0.00004	456	0.00005	516	0.00006	1169	0.00006	1179	0.00008	944	0.00006	745	0.00006	470	0.00005
Chroococcales	1118	O	1328	0.00005	2393	0.00011	758	0.00004	1512	0.00004	369	0.00004	504	0.00006	1307	0.00006	1362	0.00009	1097	0.00007	771	0.00006	635	0.00006
