name	taxonomy_id	taxonomy_lvl	14_phylum.bracken_num	14_phylum.bracken_frac	17_phylum.bracken_num	17_phylum.bracken_frac	19_phylum.bracken_num	19_phylum.bracken_frac	20_phylum.bracken_num	20_phylum.bracken_frac	2126_phylum.bracken_num	2126_phylum.bracken_frac	22a_phylum.bracken_num	22a_phylum.bracken_frac	22b_phylum.bracken_num	22b_phylum.bracken_frac	25_phylum.bracken_num	25_phylum.bracken_frac	2621_phylum.bracken_num	2621_phylum.bracken_frac	27_phylum.bracken_num	27_phylum.bracken_frac	Stan_phylum.bracken_num	Stan_phylum.bracken_frac
Firmicutes	1239	P	14664063	0.59437	11475474	0.52961	11189878	0.52168	16822390	0.49276	6247834	0.71220	5161380	0.60786	12396136	0.60507	8865023	0.59661	8794826	0.59378	6679948	0.51624	4883617	0.48117
Actinobacteria	201174	P	1828525	0.07411	1348336	0.06223	3547997	0.16541	4881231	0.14298	1375228	0.15676	137230	0.01616	350975	0.01713	1340026	0.09018	1429489	0.09651	2578278	0.19926	354710	0.03495
Cyanobacteria	1117	P	10256	0.00042	26764	0.00124	9207	0.00043	14888	0.00044	4093	0.00047	4113	0.00048	10221	0.00050	9413	0.00063	11458	0.00077	8905	0.00069	5690	0.00056
Tenericutes	544448	P	4774	0.00019	21260	0.00098	2895	0.00013	6762	0.00020	2044	0.00023	2083	0.00025	5122	0.00025	5923	0.00040	6308	0.00043	5743	0.00044	3331	0.00033
Chloroflexi	200795	P	3084	0.00013	12545	0.00058	6117	0.00029	4814	0.00014	1453	0.00017	992	0.00012	2508	0.00012	2581	0.00017	3759	0.00025	2836	0.00022	1982	0.00020
Deinococcus-Thermus	1297	P	1924	0.00008	17077	0.00079	4407	0.00021	6166	0.00018	1576	0.00018	1015	0.00012	2586	0.00013	1732	0.00012	4878	0.00033	3638	0.00028	2322	0.00023
Armatimonadetes	67819	P	175	0.00001	934	0.00004	275	0.00001	278	0.00001	110	0.00001	76	0.00001	206	0.00001	137	0.00001	367	0.00002	235	0.00002	140	0.00001
Bacteroidetes	976	P	7743111	0.31385	6022659	0.27795	6214372	0.28972	11660594	0.34156	864188	0.09851	3024082	0.35615	7333430	0.35795	4314129	0.29034	3601105	0.24313	2087098	0.16130	4381548	0.43171
Chlorobi	1090	P	1861	0.00008	6424	0.00030	2333	0.00011	2856	0.00008	895	0.00010	814	0.00010	2160	0.00011	1563	0.00011	2467	0.00017	1763	0.00014	1008	0.00010
Ignavibacteriae	1134404	P	552	0.00002	979	0.00005	281	0.00001	816	0.00002	192	0.00002	221	0.00003	535	0.00003	502	0.00003	493	0.00003	431	0.00003	284	0.00003
Balneolaeota	1936987	P	137	0.00001	327	0.00002	88	0.00000	179	0.00001	27	0.00000	33	0.00000	76	0.00000	56	0.00000	119	0.00001	83	0.00001	63	0.00001
Gemmatimonadetes	142182	P	349	0.00001	2283	0.00011	620	0.00003	476	0.00001	169	0.00002	107	0.00001	310	0.00002	177	0.00001	439	0.00003	416	0.00003	236	0.00002
Fibrobacteres	65842	P	262	0.00001	1215	0.00006	488	0.00002	648	0.00002	175	0.00002	140	0.00002	322	0.00002	355	0.00002	553	0.00004	495	0.00004	270	0.00003
Candidatus Cloacimonetes	456828	P	155	0.00001	209	0.00001	103	0.00000	351	0.00001	48	0.00001	51	0.00001	87	0.00000	274	0.00002	129	0.00001	68	0.00001	55	0.00001
Proteobacteria	1224	P	324675	0.01316	1338507	0.06177	397495	0.01853	523465	0.01533	138694	0.01581	125660	0.01480	299893	0.01464	208477	0.01403	872217	0.05889	309763	0.02394	196967	0.01941
Fusobacteria	32066	P	10985	0.00045	11706	0.00054	4370	0.00020	11612	0.00034	3665	0.00042	3769	0.00044	9279	0.00045	8076	0.00054	7410	0.00050	6384	0.00049	4010	0.00040
Spirochaetes	203691	P	10472	0.00042	22409	0.00103	7144	0.00033	14260	0.00042	3782	0.00043	3747	0.00044	9179	0.00045	8787	0.00059	10005	0.00068	7998	0.00062	4804	0.00047
Verrucomicrobia	74201	P	3469	0.00014	68370	0.00316	4756	0.00022	5812	0.00017	78572	0.00896	7277	0.00086	17330	0.00085	55091	0.00371	10022	0.00068	507770	0.03924	210967	0.02079
Planctomycetes	203682	P	2879	0.00012	13160	0.00061	3805	0.00018	5270	0.00015	1400	0.00016	1247	0.00015	2898	0.00014	1882	0.00013	3852	0.00026	3080	0.00024	2022	0.00020
Chlamydiae	204428	P	418	0.00002	1040	0.00005	345	0.00002	781	0.00002	157	0.00002	224	0.00003	580	0.00003	415	0.00003	357	0.00002	441	0.00003	244	0.00002
Candidatus Omnitrophica	67812	P	51	0.00000	329	0.00002	97	0.00000	117	0.00000	19	0.00000	100	0.00001	223	0.00001	55	0.00000	204	0.00001	88	0.00001	44	0.00000
Kiritimatiellaeota	134625	P	45	0.00000	978	0.00005	206	0.00001	200	0.00001	76	0.00001	13	0.00000	86	0.00000	129	0.00001	197	0.00001	140	0.00001	88	0.00001
Thermotogae	200918	P	2628	0.00011	4417	0.00020	1293	0.00006	3208	0.00009	909	0.00010	1045	0.00012	2749	0.00013	2006	0.00014	2202	0.00015	1758	0.00014	1141	0.00011
Acidobacteria	57723	P	1905	0.00008	8441	0.00039	2945	0.00014	4090	0.00012	1025	0.00012	802	0.00009	1947	0.00010	1641	0.00011	3044	0.00021	2088	0.00016	1288	0.00013
Synergistetes	508458	P	1292	0.00005	55772	0.00257	1751	0.00008	1952	0.00006	734	0.00008	683	0.00008	1643	0.00008	931	0.00006	1847	0.00012	2101	0.00016	1086	0.00011
Aquificae	200783	P	871	0.00004	1713	0.00008	443	0.00002	1050	0.00003	220	0.00003	342	0.00004	773	0.00004	791	0.00005	669	0.00005	1148	0.00009	404	0.00004
Deferribacteres	200930	P	792	0.00003	1642	0.00008	450	0.00002	1158	0.00003	335	0.00004	432	0.00005	1087	0.00005	800	0.00005	734	0.00005	674	0.00005	523	0.00005
Nitrospirae	40117	P	701	0.00003	2493	0.00012	642	0.00003	1162	0.00003	383	0.00004	239	0.00003	499	0.00002	731	0.00005	807	0.00005	907	0.00007	436	0.00004
Elusimicrobia	74152	P	423	0.00002	608	0.00003	214	0.00001	481	0.00001	206	0.00002	182	0.00002	492	0.00002	283	0.00002	345	0.00002	395	0.00003	195	0.00002
Thermodesulfobacteria	200940	P	421	0.00002	1076	0.00005	305	0.00001	615	0.00002	121	0.00001	139	0.00002	370	0.00002	322	0.00002	458	0.00003	278	0.00002	245	0.00002
Dictyoglomi	68297	P	263	0.00001	264	0.00001	113	0.00001	309	0.00001	78	0.00001	118	0.00001	296	0.00001	166	0.00001	144	0.00001	193	0.00001	93	0.00001
Candidatus Saccharibacteria	95818	P	233	0.00001	233	0.00001	190	0.00001	301	0.00001	71	0.00001	60	0.00001	160	0.00001	188	0.00001	204	0.00001	141	0.00001	96	0.00001
Candidatus Bipolaricaulota	67810	P	21	0.00000	293	0.00001	64	0.00000	21	0.00000	9	0.00000	3	0.00000	0	0.00000	39	0.00000	46	0.00000	52	0.00000	33	0.00000
Calditrichaeota	1930617	P	101	0.00000	399	0.00002	166	0.00001	178	0.00001	100	0.00001	65	0.00001	207	0.00001	151	0.00001	152	0.00001	106	0.00001	101	0.00001
Chrysiogenetes	200938	P	70	0.00000	608	0.00003	120	0.00001	157	0.00000	53	0.00001	16	0.00000	37	0.00000	52	0.00000	158	0.00001	87	0.00001	84	0.00001
Caldiserica	67814	P	32	0.00000	183	0.00001	41	0.00000	67	0.00000	24	0.00000	9	0.00000	28	0.00000	64	0.00000	131	0.00001	38	0.00000	28	0.00000
Coprothermobacterota	2138240	P	81	0.00000	347	0.00002	30	0.00000	54	0.00000	21	0.00000	10	0.00000	34	0.00000	32	0.00000	69	0.00000	39	0.00000	12	0.00000
Chordata	7711	P	24156	0.00098	31877	0.00147	13597	0.00063	31289	0.00092	8650	0.00099	7383	0.00087	19686	0.00096	16498	0.00111	18127	0.00122	15888	0.00123	10491	0.00103
Euryarchaeota	28890	P	7162	0.00029	1152251	0.05318	6818	0.00032	11263	0.00033	3450	0.00039	2883	0.00034	7526	0.00037	5764	0.00039	7848	0.00053	452150	0.03494	69246	0.00682
Crenarchaeota	28889	P	586	0.00002	1147	0.00005	380	0.00002	920	0.00003	218	0.00002	286	0.00003	652	0.00003	463	0.00003	588	0.00004	498	0.00004	285	0.00003
Thaumarchaeota	651137	P	325	0.00001	629	0.00003	259	0.00001	435	0.00001	132	0.00002	116	0.00001	249	0.00001	277	0.00002	268	0.00002	266	0.00002	160	0.00002
Candidatus Korarchaeota	51967	P	3	0.00000	237	0.00001	1	0.00000	3	0.00000	0	0.00000	0	0.00000	2	0.00000	2	0.00000	2	0.00000	0	0.00000	2	0.00000
Candidatus Geothermarchaeota	1935021	P	1	0.00000	21	0.00000	11	0.00000	15	0.00000	8	0.00000	2	0.00000	6	0.00000	29	0.00000	6	0.00000	7	0.00000	4	0.00000
