name	taxonomy_id	taxonomy_lvl	14_species.bracken_num	14_species.bracken_frac	17_species.bracken_num	17_species.bracken_frac	19_species.bracken_num	19_species.bracken_frac	20_species.bracken_num	20_species.bracken_frac	2126_species.bracken_num	2126_species.bracken_frac	22a_species.bracken_num	22a_species.bracken_frac	22b_species.bracken_num	22b_species.bracken_frac	25_species.bracken_num	25_species.bracken_frac	2621_species.bracken_num	2621_species.bracken_frac	27_species.bracken_num	27_species.bracken_frac	Stan_species.bracken_num	Stan_species.bracken_frac
Blautia sp. SC05B48	2479767	S	2071623	0.08398	586729	0.02708	1995802	0.09309	1470460	0.04308	817729	0.09324	386008	0.04548	988766	0.04827	793569	0.05342	1239106	0.08368	770273	0.05954	290120	0.02859
Blautia sp. LZLJ-3	2779518	S	22912	0.00093	22325	0.00103	17555	0.00082	31000	0.00091	18748	0.00214	10549	0.00124	26245	0.00128	36440	0.00245	20471	0.00138	13601	0.00105	11032	0.00109
Blautia sp. YL58	1796616	S	61909	0.00251	46529	0.00215	42027	0.00196	113752	0.00333	28678	0.00327	22937	0.00270	48207	0.00235	73471	0.00495	43740	0.00295	27313	0.00211	23448	0.00231
Blautia producta	33035	S	85099	0.00345	71668	0.00331	56785	0.00265	107468	0.00315	54451	0.00621	29534	0.00348	72465	0.00354	103810	0.00699	67366	0.00455	28080	0.00217	25566	0.00252
Blautia argi	1912897	S	76178	0.00309	46391	0.00214	37394	0.00174	103207	0.00302	27140	0.00309	30787	0.00363	80570	0.00393	70517	0.00475	52807	0.00357	22848	0.00177	57337	0.00565
Blautia hansenii	1322	S	82222	0.00333	46837	0.00216	41308	0.00193	143884	0.00422	28364	0.00323	27278	0.00321	69001	0.00337	82688	0.00557	65660	0.00443	26088	0.00202	22594	0.00223
Blautia coccoides	1532	S	19134	0.00078	3767	0.00017	643	0.00003	4009	0.00012	1690	0.00019	3535	0.00042	15886	0.00078	3125	0.00021	11233	0.00076	2119	0.00016	1166	0.00011
Anaerostipes hadrus	649756	S	1057993	0.04289	1183130	0.05461	404291	0.01886	2494082	0.07307	485298	0.05534	144617	0.01704	376861	0.01840	511844	0.03445	505272	0.03412	662352	0.05120	323981	0.03193
Anaerostipes caccae	105841	S	18470	0.00075	8484	0.00039	5697	0.00027	19782	0.00058	4100	0.00047	3467	0.00041	8177	0.00040	17353	0.00117	7457	0.00050	4602	0.00036	3475	0.00034
Anaerostipes rhamnosivorans	1229621	S	11546	0.00047	12036	0.00056	13823	0.00064	14605	0.00043	5860	0.00067	4501	0.00053	11059	0.00054	12387	0.00083	16045	0.00108	8857	0.00068	5017	0.00049
